995	10046	dir-
996	10046	-sad-
997	10046	-o 3
998	10087	ma?
999	10087	ilk-
1000	10087	-o 2
1001	10087	baa
1002	10088	waa
1003	10088	ilk-
1004	10088	-o 2
1005	10089	ma?
1006	10089	ilk-
1007	10089	baa
1008	10090	waa
1009	10090	ilk-
1010	10091	ma?
1011	10091	inan 2
1012	10091	baa
1013	10092	waa
1014	10092	inan 2
1015	10093	ma?
1016	10093	inan 1
1017	10093	baa
1018	10094	waa
1019	10094	inan 1
1020	10095	ma?
1021	10095	feer 2
1022	10095	baa
1023	10096	waa
1024	10096	feer 2
1025	10097	ma?
1026	10097	feer 1
1027	10097	baa
1028	10098	waa
1029	10098	feer 1
1030	10099	kan
1031	10099	-i
1032	10099	waa
1033	10099	feer 1
1034	10100	sim-
1035	10101	waa
1036	10101	misk-
1037	10102	ma?
1038	10102	misk-
1039	10102	baa
1040	10103	waa
1041	10103	nirg-
1042	10104	ma?
1043	10104	nirg-
1044	10104	baa
1045	10105	waa
1046	10105	nirg-
1047	10106	ma?
1048	10106	nirg-
1049	10106	baa
1050	10107	ma?
1051	10107	caan-
1052	10107	-o 2
1053	10107	cabb-
1054	10107	-aa 2
1055	10108	ma?
1056	10108	caan-
1057	10108	-o 2
1058	10108	baa
1059	10108	uu
1060	10108	cabb-
1061	10108	-aa 2
1062	10109	caan-
1063	10109	-o 2
1064	10109	ma?
1065	10109	ayaa
1066	10109	uu
1067	10109	cabb-
1068	10109	-aa 2
1069	10110	caan-
1070	10110	-o 2
1071	10110	ma?
1072	10110	uu
1073	10110	cabb-
1074	10110	-aa 2
1075	10111	caan-
1076	10111	-o 2
1077	10111	ma?
1078	10111	cabb-
1079	10111	-aa 2
1080	10112	haa
1081	10112	caan-
1082	10112	-o 2
1083	10112	baa
1084	10112	uu
1085	10112	cabb-
1086	10112	-aa 2
1087	10113	haa
1088	10113	waa
1089	10113	cabb-
1090	10113	-aa 2
1091	10114	haa
1092	10114	waa
1093	10114	uu
1094	10114	cabb-
1095	10114	-aa 2
1096	10115	caan-
1097	10115	-O 2
1098	10115	ma?
1099	10115	cabb-
